22,Female,Chinese,Intermediate,Everyday,Everyday
21,Female,Chinese,Proficient,Everyday,Everyday
22,Female,Chinese,Advanced,Everyday,5 days a week
21,Female,Chinese,Advanced,Everyday,Everyday
22,Female,Chinese,Beginner,Everyday,Everyday
21,Female,Chinese,Intermediate,Everyday,Everyday
26,Female,Chinese,Intermediate,Everyday,2-3 days a week
28,Male,Latvian,Proficient,Everyday,Everyday
21,Female,Chinese,Advanced,Everyday,Everyday
21,Female,Chinese,Advanced,Everyday,Everyday
23,Female,Chinese,Intermediate,Everyday,5 days a week
24,Female,Chinese,Advanced,Everyday,5 days a week
22,Female,Chinese,Intermediate,Everyday,Everyday
24,Male,Chinese,Intermediate,Everyday,Everyday
25,Female,Chinese,Proficient,Everyday,Everyday
22,Female,Chinese,Advanced,Everyday,2-3 days a week
22,Female,Chinese,Intermediate,Everyday,Everyday
